"Comment","Designator","Footprint","JLCPCB Part #"
"1uF","C1,C2,C3,C4,C5,C6,C7,C8,C9,C10","Capacitor_SMD:C_0402_1005Metric","C52923"
"USB_C_Receptacle_USB2.0","J1,J4","Library:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"5.1k","R1,R2,R3,R4,R6,R7,R8,R9","Resistor_SMD:R_0402_1005Metric","C25905"
"330R","R5,R10","Resistor_SMD:R_0402_1005Metric","C25104"
"SW_SPST","SW1,SW2","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","C318893"
"STM32F042G6Ux","U2,U6","Package_DFN_QFN:QFN-28_4x4mm_P0.5mm","C961597"
"TLP2361","U3,U7","Package_SO:SO-5_4.4x3.6mm_P1.27mm","C107626"
"AP2112K-3.3","U4,U8","Package_TO_SOT_SMD:SOT-23-5","C51118"
